location,date,-,19A,19B,20A,20B,20C,20D
Cook County (COO),3/1/2020,0,1,0,0,0,0,0
Cook County (COO),3/2/2020,0,2,0,0,0,0,0
Cook County (COO),3/3/2020,0,4,1,0,0,0,0
Cook County (COO),3/4/2020,0,7,6,0,0,0,0
Cook County (COO),3/5/2020,0,5,11,7,0,0,0
Cook County (COO),3/6/2020,0,12,2,12,0,0,0
Cook County (COO),3/7/2020,0,17,1,15,0,3,0
Cook County (COO),3/8/2020,4,33,0,40,0,26,0
DuPage County (DUP),3/4/2020,0,1,0,0,0,0,0
DuPage County (DUP),3/5/2020,0,5,0,0,0,0,0
DuPage County (DUP),3/6/2020,0,9,0,0,0,0,0
DuPage County (DUP),3/7/2020,0,3,0,0,0,0,0
DuPage County (DUP),3/8/2020,0,1,0,0,0,0,0
Hancock County (HAN),3/3/2020,0,0,0,0,0,1,0
Hancock County (HAN),3/4/2020,0,0,0,0,0,2,0
Hancock County (HAN),3/5/2020,0,0,0,0,0,12,0
Hancock County (HAN),3/6/2020,0,0,0,0,0,15,0
Hancock County (HAN),3/7/2020,0,0,0,0,0,17,0
Hancock County (HAN),3/8/2020,0,0,0,0,0,20,3
Jackson County (JAC),3/7/2020,0,0,0,0,3,0,0
Jackson County (JAC),3/8/2020,0,0,0,0,12,0,0
Lake County (LAK),3/2/2020,0,1,0,0,0,0,0
Lake County (LAK),3/4/2020,0,3,0,0,0,0,0
Lake County (LAK),3/5/2020,0,9,0,0,0,0,0
Lake County (LAK),3/6/2020,0,10,0,0,2,0,0
Lake County (LAK),3/7/2020,0,16,0,0,17,0,0
Lake County (LAK),3/8/2020,0,7,0,0,19,0,0
Williamson County (WLS),3/8/2020,0,0,0,0,3,0,0
