date,location,-,19A,19B,20A,20B,20C,20D
3/1/2020,Cook County (COO),0,1,0,0,0,0,0
3/2/2020,Cook County (COO),0,2,0,0,0,0,0
3/2/2020,Lake County (LAK),0,1,0,0,0,0,0
3/3/2020,Cook County (COO),0,4,1,0,0,0,0
3/3/2020,Hancock County (HAN),0,0,0,0,0,1,0
3/4/2020,Cook County (COO),0,7,6,0,0,0,0
3/4/2020,DuPage County (DUP),0,1,0,0,0,0,0
3/4/2020,Hancock County (HAN),0,0,0,0,0,2,0
3/4/2020,Lake County (LAK),0,3,0,0,0,0,0
3/5/2020,Cook County (COO),0,5,11,7,0,0,0
3/5/2020,DuPage County (DUP),0,5,0,0,0,0,0
3/5/2020,Hancock County (HAN),0,0,0,0,0,12,0
3/5/2020,Lake County (LAK),0,9,0,0,0,0,0
3/6/2020,Cook County (COO),0,12,2,12,0,0,0
3/6/2020,DuPage County (DUP),0,9,0,0,0,0,0
3/6/2020,Hancock County (HAN),0,0,0,0,0,15,0
3/6/2020,Lake County (LAK),0,10,0,0,2,0,0
3/7/2020,Cook County (COO),0,17,1,15,0,3,0
3/7/2020,DuPage County (DUP),0,3,0,0,0,0,0
3/7/2020,Hancock County (HAN),0,0,0,0,0,17,0
3/7/2020,Jackson County (JAC),0,0,0,0,3,0,0
3/7/2020,Lake County (LAK),0,16,0,0,17,0,0
3/8/2020,Cook County (COO),4,33,0,40,0,26,0
3/8/2020,DuPage County (DUP),0,1,0,0,0,0,0
3/8/2020,Hancock County (HAN),0,0,0,0,0,20,3
3/8/2020,Jackson County (JAC),0,0,0,0,12,0,0
3/8/2020,Lake County (LAK),0,7,0,0,19,0,0
3/8/2020,Williamson County (WLS),0,0,0,0,3,0,0
