countyFIPS,date,-,19A,19B,20A,20B,20C,20D
17031,3/1/2020,0,1,0,0,0,0,0
17031,3/2/2020,0,2,0,0,0,0,0
17031,3/3/2020,0,4,1,0,0,0,0
17031,3/4/2020,0,7,6,0,0,0,0
17031,3/5/2020,0,5,11,7,0,0,0
17031,3/6/2020,0,12,2,12,0,0,0
17031,3/7/2020,0,17,1,15,0,3,0
17031,3/8/2020,4,33,0,40,0,26,0
17043,3/4/2020,0,1,0,0,0,0,0
17043,3/5/2020,0,5,0,0,0,0,0
17043,3/6/2020,0,9,0,0,0,0,0
17043,3/7/2020,0,3,0,0,0,0,0
17043,3/8/2020,0,1,0,0,0,0,0
17067,3/3/2020,0,0,0,0,0,1,0
17067,3/4/2020,0,0,0,0,0,2,0
17067,3/5/2020,0,0,0,0,0,12,0
17067,3/6/2020,0,0,0,0,0,15,0
17067,3/7/2020,0,0,0,0,0,17,0
17067,3/8/2020,0,0,0,0,0,20,3
17077,3/7/2020,0,0,0,0,3,0,0
17077,3/8/2020,0,0,0,0,12,0,0
17097,3/2/2020,0,1,0,0,0,0,0
17097,3/4/2020,0,3,0,0,0,0,0
17097,3/5/2020,0,9,0,0,0,0,0
17097,3/6/2020,0,10,0,0,2,0,0
17097,3/7/2020,0,16,0,0,17,0,0
17097,3/8/2020,0,7,0,0,19,0,0
17199,3/8/2020,0,0,0,0,3,0,0
