location,countyFIPS,date,-,19A,19B,20A,20B,20C,20D
Cook County (COO),31,2020-03-01,0,1,0,0,0,0,0
Cook County (COO),31,2020-03-02,0,2,0,0,0,0,0
Cook County (COO),31,2020-03-03,0,4,1,0,0,0,0
Cook County (COO),31,2020-03-04,0,7,6,0,0,0,0
Cook County (COO),31,2020-03-05,0,5,11,7,0,0,0
Cook County (COO),31,2020-03-06,0,12,2,12,0,0,0
Cook County (COO),31,2020-03-07,0,17,1,15,0,3,0
Cook County (COO),31,2020-03-08,4,33,0,40,0,26,0
DuPage County (DUP),43,2020-03-04,0,1,0,0,0,0,0
DuPage County (DUP),43,2020-03-05,0,5,0,0,0,0,0
DuPage County (DUP),43,2020-03-06,0,9,0,0,0,0,0
DuPage County (DUP),43,2020-03-07,0,3,0,0,0,0,0
DuPage County (DUP),43,2020-03-08,0,1,0,0,0,0,0
Hancock County (HAN),67,2020-03-03,0,0,0,0,0,1,0
Hancock County (HAN),67,2020-03-04,0,0,0,0,0,2,0
Hancock County (HAN),67,2020-03-05,0,0,0,0,0,12,0
Hancock County (HAN),67,2020-03-06,0,0,0,0,0,15,0
Hancock County (HAN),67,2020-03-07,0,0,0,0,0,17,0
Hancock County (HAN),67,2020-03-08,0,0,0,0,0,20,3
Jackson County (JAC),77,2020-03-07,0,0,0,0,3,0,0
Jackson County (JAC),77,2020-03-08,0,0,0,0,12,0,0
Lake County (LAK),97,2020-03-02,0,1,0,0,0,0,0
Lake County (LAK),97,2020-03-04,0,3,0,0,0,0,0
Lake County (LAK),97,2020-03-05,0,9,0,0,0,0,0
Lake County (LAK),97,2020-03-06,0,10,0,0,2,0,0
Lake County (LAK),97,2020-03-07,0,16,0,0,17,0,0
Lake County (LAK),97,2020-03-08,0,7,0,0,19,0,0
Williamson County (WLS),199,2020-03-08,0,0,0,0,3,0,0
